id,date,publication,author,headline,items
1490,2021-08-06,The Indian Express,Bureau,RETROSPECTIVE TAX SET TO BE A THING OF THE PAST,"Cairn Energy, retrospective tax, arbitration"
1491,2021-08-06,The Times Of India,Bureau,"Govt brings bill to axe retro tax imposed on Voda, Cairn.","Cairn plc, retrospective tax, arbitration"
1492,2021-08-06,Mint, Gireesh Chandra Prasad,Govt brings bill to scrap retrospective taxation,"Cairn Energy, retrospective tax, arbitration"
1493,2021-08-06,The Times Of India,Bureau,Positive for Voda Idea stock; Cairn rallies on LSE...,"Cairn Energy, arbitration"
1494,2021-08-06,The Times Of India,Bureau,"Govt brings bill to axe retro tax imposed on Voda, Cairn..","Cairn plc, retrospective tax, arbitration"
1495,2021-08-06,Hindustan Times, Rajeev Jayaswal,Centre moves bill in House to stop retro tax,"Cairn Energy, retrospective tax, arbitration"
1496,2021-08-06,Business Standard, Dilasha Seth ,"Retro tax must be resolved via Indian law, not arbitral award","Cairn Energy, arbitration"
1497,2021-08-06,The Financial Express,Bureau,"Govt does sudden U-turn, buries retrospective tax","Cairn Energy, retrospective tax, arbitration"
1498,2021-08-06,The Indian Express,Bureau,"In signal to global investors, Govt moves to bury controversial retrospective tax policy","Cairn Energy, retrospective tax, arbitration"
1499,2021-08-06,The Hindu,Bureau,Centre moves to redact Centre seeks to redact retrospective tax law retrospective tax law,"Cairn Energy, retrospective tax, arbitration"
1500,2021-08-06,The Times Of India, Sidhartha,"Govt hopes to start afresh after retro tax amendments.,",arbitration
1501,2021-08-06,The Hindu,Special Correspondent,Centre moves to redact retrospective tax law.....,"Cairn Energy, retrospective tax, arbitration"
1502,2021-08-06,The Times Of India,Bureau,‘Positive’ for Voda Idea stock; Cairn rallies on LSE.,"Cairn Energy, arbitration"
1503,2021-08-06,The Hindu,Bureau,Centre moves to redact retrospective tax law,"Cairn Energy, retrospective tax, arbitration"
1504,2021-08-06,The Indian Express, Sunny  Verma,"NDA called it tax terror; took 7 yrs, adverse verdicts to course-correct","Cairn Energy, arbitration"
1505,2021-08-06,The Hindu,Special Correspondent,Centre moves to redact retrospective tax law,"Cairn Energy, retrospective tax, arbitration"
1506,2021-08-06,The Times Of India,Bureau,"Govt brings bill to axe retro tax imposed on Voda, Cairn,","Cairn plc, retrospective tax, arbitration"
1507,2021-08-06,The Hindu,Bureau,"Centre moves to redact retrospective tax law,","Cairn Energy, retrospective tax, arbitration"
1508,2021-08-06,The Indian Express, Sunny  Verma,"In signal to global investors, Govt moves to bury controversial retrospective tax policy.","Cairn Energy, retrospective tax, arbitration"
1509,2021-08-06,The Hindu,Bureau,"Centre moves to redact retrospective tax law,,","Cairn Energy, retrospective tax, arbitration"
1510,2021-08-06,The Times Of India,Bureau,‘Positive’ for Voda Idea stock; Cairn rallies on LSE,"Cairn Energy, arbitration"
